"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Inventory Dashboard","","2","0","1","0","0"
"","DashboardExecutions","Checking Active User Tiles","0","0","1","0","0"
"","Track Order","","0","0","5","0","0"
"","Login Page","","0","0","4","0","0"
"","Login Page","Login Unsuccessfully","0","0","4","0","0"
"","Order List","Create an Order for new Customer ","1","0","4","0","0"
"","Login Page","Login With Incorrect Username","0","0","8","0","0"
"","Order List","Create an Order for existing Customer ","0","1","4","0","0"
"","DashboardExecutions","Checking Total Sales Tiles","0","0","1","0","0"
"","DashboardExecutions","Checking Total user Active User Tiles","0","0","1","0","0"
"","Order List","Create a New Order for store","0","0","10","0","0"
"","Login Page","Login Successfully","0","0","4","0","0"
"","Order List","Checking Order synchronization after creating a new ","0","1","4","0","0"
"","DashboardExecutions","Checking Inactive User Tiles","0","0","1","0","0"
"","Order List","Search and verify item","0","0","5","0","0"
"","DashboardExecutions","Checking Total Order Tiles","1","0","0","0","0"
"","DashboardExecutions","Checking Total User Tiles","0","0","1","0","0"
"","DashboardExecutions","Checking Total Pending Tiles","0","0","1","0","0"
