"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 14 10:58:10 IST 2023","Fri Jul 14 10:58:58 IST 2023","47801","","TestOrder","TestOrder","","","Create a New Order for store","Create a New Order for store"
"passed","Fri Jul 14 09:51:52 IST 2023","Fri Jul 14 09:51:58 IST 2023","5802","","TestLogin","TestLogin","","","Login With Incorrect Username","Login With Incorrect Username"
"passed","Fri Jul 14 10:35:07 IST 2023","Fri Jul 14 10:35:31 IST 2023","23954","","TestOrder","TestOrder","","","Search Functionality","Search and verify item"
"passed","Fri Jul 14 10:53:00 IST 2023","Fri Jul 14 10:53:50 IST 2023","50527","","TestOrder","TestOrder","","","Create a new Order for existing Customer","Create an Order for existing Customer "
"passed","Fri Jul 14 11:14:03 IST 2023","Fri Jul 14 11:14:19 IST 2023","15824","","TestInventDashboard","TestInventDashboard","","","Comparing Dashboard data with List data for Vendors","Comparing Dashboard data with List data for Vendors"
"passed","Fri Jul 14 13:20:54 IST 2023","Fri Jul 14 13:21:19 IST 2023","25293","","TestVendor","TestVendors","","","Adding a new Vendor","Adding a new Vendor"
"passed","Fri Jul 14 09:56:54 IST 2023","Fri Jul 14 09:57:21 IST 2023","26550","","TestDashboard","TestDashboard","","","test_dashboard_07_sumoftotal_user","Checking Total user Active User Tiles"
"passed","Fri Jul 14 10:56:29 IST 2023","Fri Jul 14 10:57:19 IST 2023","49679","","TestOrder","TestOrder","","","Create a new Order for existing Customer","Create an Order for existing Customer "
"passed","Fri Jul 14 12:56:21 IST 2023","Fri Jul 14 12:56:52 IST 2023","31415","","TestInventory","TestInventory","","","Selecting  a new Category","Selecting a new Category from Category Carousel "
"passed","Fri Jul 14 09:49:20 IST 2023","Fri Jul 14 09:49:29 IST 2023","9460","","TestLogin","TestLogin","","","test_LoginSuccessful_3___rohit13_latido_com_np____Test_123__","Login Successfully"
"passed","Fri Jul 14 13:16:15 IST 2023","Fri Jul 14 13:17:06 IST 2023","50630","","TestVendor","TestVendors","","","Synchronization a Vendor ","Checking Synchronization of a Vendor after creating a new one "
"passed","Fri Jul 14 11:00:40 IST 2023","Fri Jul 14 11:01:29 IST 2023","48203","","TestOrder","TestOrder","","","Create a New Order for store","Create a New Order for store"
"passed","Fri Jul 14 09:50:21 IST 2023","Fri Jul 14 09:50:29 IST 2023","7513","","TestLogin","TestLogin","","","Login With Invalid Username","Login With Invalid Username"
