"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 18 13:10:24 IST 2023","Fri Aug 18 13:10:43 IST 2023","19087","","Test_10_ProductManagement","TestProductManagement","","","test_03_edit_new_product_4___TEST_A_35____Party____Golden_Antique____Black___True___This_is_a_testing_mode_description___After_Editing____E___POM_for_Bottle__WebApp__TestData__ProductManagement__sampleData__Brown_Leather__Brown_Leather_02_jpg__","Adding a new product into the List. "
"passed","Fri Aug 18 11:03:06 IST 2023","Fri Aug 18 11:03:53 IST 2023","46855","","Test_03_Order","TestOrder","","","test_01_create_order_customer_4___frugal_latido_com_np____Test_123____9813000000____male____Luigi__male_____Pink_Foil____41____Golden_Antique____Black____Yes____40___5_6__4_4__5__46__8__12__11__7__1__9___Comfort____Test_004____2023_08_29___100900_","Create an Order for existing Customer "
"passed","Fri Aug 18 13:32:03 IST 2023","Fri Aug 18 13:32:15 IST 2023","12137","","Test_12_ProductCategory","TestProductCategory","","","test_03_edit_product_category_4___Category_16____Category_edit_16__","To verify edit Product Category. "
"passed","Fri Aug 18 12:50:44 IST 2023","Fri Aug 18 12:51:15 IST 2023","30508","","Test_09_MemberManagement","TestMemberManagement","","","test_04_reset_password_1___TestUser_65____Store_Manager____userPass_auto65___9800000020___Siliguri____Test_123____Changed_123__","Reset Password a user password after creation."
"passed","Fri Aug 18 10:43:14 IST 2023","Fri Aug 18 10:43:20 IST 2023","6007","","Test_01_Login","TestLogin","","","test_login_with_empty_password_fields_4___rohit13_latido_com_np___None_","Login With Incorrect Username"
"passed","Fri Aug 18 13:35:54 IST 2023","Fri Aug 18 13:36:09 IST 2023","15685","","Test_12_ProductCategory","TestProductCategory","","","test_05_edit_product_subcategory_4___Category_edit_16____Sub_category_16____Edited_Sub_category_16__","To verify edit Product Sub-category. "
"passed","Fri Aug 18 15:22:14 IST 2023","Fri Aug 18 15:22:43 IST 2023","28429","","Test_13_Blog","TestBlog","","","test_02_create_new_blog_2___frugal_latido_com_np____Test_123____This_is_short_Description____1___test_auto_dateSheet____Automation_Test_Blog__2____1_2_3____This_is_Header_1_through_Automations_This_is_Header_2_through_Automations_This_is_Header_3_through_Automations____This_is_example_of_Order_list___1_This_is_example_of_Order_list___3____E___POM_for_Bottle__WebApp__TestData__BlogTestData__SampleImage__sampel_leather_1_jpg___2___E___POM_for_Bottle__WebApp__TestData__BlogTestData__SampleImage__sampel_leather_1_jpg__E___POM_for_Bottle__WebApp__TestData__BlogTestData__SampleImage__sampel_leather_2_jpg__E___POM_for_Bottle__WebApp__TestData__BlogTestData__SampleImage__sampel_leather_3_jpg__E___POM_for_Bottle__WebApp__TestData__BlogTestData__SampleImage__sampel_leather_4_jpg__E___POM_for_Bottle__WebApp__TestData__BlogTestData__SampleImage__sampel_leather_5_jpg___None___This_is_a_test_2__","Create a new Blog"
"passed","Fri Aug 18 11:59:00 IST 2023","Fri Aug 18 11:59:25 IST 2023","24871","","Test_06_Inventory","TestInventory","","","test_04_search_item_5___frugal_latido_com_np____Test_123____Leather001__","Searching the Items from the search and adding a new Item to it"
"passed","Fri Aug 18 11:22:19 IST 2023","Fri Aug 18 11:23:19 IST 2023","60307","","Test_03_Order","TestOrder","","","test_05_check_order_synchronization_for_Store_4___frugal_latido_com_np____Test_123____Luigi__male_____Pink_Foil____41____Golden_Antique____Black____Yes____40____Comfort___8__7___33___11__5__9__12__46___6___5_6___Test_002___20000__1000___101011__","Checking Order synchronization after creating a New Order for store"
"passed","Fri Aug 18 10:47:50 IST 2023","Fri Aug 18 10:48:00 IST 2023","10014","","Test_02_Dashboard","TestDashboard","","","test_dashboard_05_active_user","Checking Active User Tiles"
"passed","Fri Aug 18 12:05:16 IST 2023","Fri Aug 18 12:05:52 IST 2023","35959","","Test_07_Vendor","TestVendors","","","test_03_edit_vendor_2___frugal_latido_com_np____Test_123____E___POM_for_Bottle__WebApp__TestData__Vendor__Sample_Data_From_Bottle_Testing__Vendor__vendor2_jpg____AT_EDT_92____Auto_Vendor_edit_92____vendor1_mail_com___9800001011___Auomator2____Siliguri____This_is_an_Automated_generated_descriptions____Tester_2____Siliguri___9800002011___test_mail_com____Auto_Vendor_edited__02____vendor_edit01_mail_com___9800000201_","Editing a Vendor details"
"passed","Fri Aug 18 14:34:15 IST 2023","Fri Aug 18 14:34:24 IST 2023","8988","","Test_11_LeatherManagement","TestLeatherManagement","","","test_03_check_synchronization_4___LT_030____Better____Black_Rough____Cold_Store____New_Pasoori____Pasoori_2__","verification of newly created Leather into the List. "
"passed","Fri Aug 18 13:21:02 IST 2023","Fri Aug 18 13:23:03 IST 2023","121333","","Test_10_ProductManagement","TestProductManagement","","","test_04_check_synchronization_6___E___POM_for_Bottle__WebApp__TestData__ProductManagement__sampleData__Bas_Black__Bas_Black_01_jpg____TEST_AS_36____Frontier_ultimate____unisex___10___Winter_Jacket____Silver____Black___False__False___This_is_a_testing_mode_description____23_24_25_26_27_28_29_30_31_37____New_Zealand_Sheep____XXXS_XXS_Extra_Small__XS_____5000__5000__5000____Sheep_Tumble_Pink_Foil__","Adding a new product into the List. "
"passed","Fri Aug 18 12:27:22 IST 2023","Fri Aug 18 12:28:19 IST 2023","57038","","Test_08_Reporting","TestReporting","","","test_01_new_entry_list_2____Automation__Item_110____AT_IT_110____AKM_Leather___2000___2023_08_18___10___Good____By_Truck____By_Cash____Rohit____E___POM_for_Bottle__WebApp__TestData__InventoryData__Image__Receipt_png__","Check for new Entry"
"passed","Fri Aug 18 14:31:20 IST 2023","Fri Aug 18 14:32:26 IST 2023","66050","","Test_11_LeatherManagement","TestLeatherManagement","","","test_02_add_new_Leather_4___E___POM_for_Bottle__WebApp__TestData__InventoryData__Image__Fraper_leather_Jacket_jpg____Leather00_30____LT_030____This_is_from_an_automated_Script___for_Leather___30___1__None___T0_LT_00_30____AT_LT_00_30____Auto_Testing__030____Black____Performing_this_using_automation_scripts____1__1__1___E___POM_for_Bottle__WebApp__TestData__InventoryData__Image__Fraper_leather_Jacket_jpg____E___POM_for_Bottle__WebApp__TestData__InventoryData__Image__David_Leather_Jacket_jpg____Frugal_Automation____50___Better____Black_Rough____Cold_Store____New_Pasoori____Pasoori_2__","Adding a new Leather into the List. "
"passed","Fri Aug 18 11:47:10 IST 2023","Fri Aug 18 11:47:29 IST 2023","19371","","Test_06_Inventory","TestInventory","","","Create a new Category","Create a new Category from Add button "
"passed","Fri Aug 18 12:53:22 IST 2023","Fri Aug 18 12:53:58 IST 2023","36510","","Test_09_MemberManagement","TestMemberManagement","","","test_05_login_newMember_1___UserTest_67____Store_Manager____user_logintest_auto67___9800000027___Siliguri____Test_123__","Check Loging after creating an user."
"passed","Fri Aug 18 13:34:27 IST 2023","Fri Aug 18 13:34:45 IST 2023","17677","","Test_12_ProductCategory","TestProductCategory","","","test_04_add_product_subcategory_6___Category_edit_18____E___POM_for_Bottle__WebApp__TestData__ProductCategory__SampleImage__sampel_leather_3_jpg____Sub_category_18__","To verify Add new Product Sub-Category. "
"passed","Fri Aug 18 10:47:26 IST 2023","Fri Aug 18 10:47:36 IST 2023","9943","","Test_02_Dashboard","TestDashboard","","","test_dashboard_03_totalSales","Checking Total Sales Tiles"
"passed","Fri Aug 18 11:51:05 IST 2023","Fri Aug 18 11:51:40 IST 2023","34840","","Test_06_Inventory","TestInventory","","","test_02_Add_newCategory_item_4___frugal_latido_com_np____Test_123_____Automation__Item_122____AT_IT_122____T0122____AT0122____Auto_Testing_122____Black____Performing_this_using_automation_scripts____1__1__0___E___POM_for_Bottle__WebApp__TestData__InventoryData__Image__Fraper_leather_Jacket_jpg___None___Frugal_Automation____50_","Selecting a new Category from Category Carousel "
"passed","Fri Aug 18 12:06:34 IST 2023","Fri Aug 18 12:07:09 IST 2023","35309","","Test_07_Vendor","TestVendors","","","test_03_edit_vendor_4___frugal_latido_com_np____Test_123____E___POM_for_Bottle__WebApp__TestData__Vendor__Sample_Data_From_Bottle_Testing__Vendor__vendor1_jpg____AT_EDT_94____Auto_Vendor_edit_94____vendor1_mail_com___9800001013___Auomator4____Siliguri____This_is_an_Automated_generated_descriptions____Tester_4____Siliguri___9800002013___test_mail_com____Auto_Vendor_edited__04____vendor_edit01_mail_com___9800000203_","Editing a Vendor details"
"passed","Fri Aug 18 11:27:14 IST 2023","Fri Aug 18 11:27:27 IST 2023","12805","","Test_04_TrackOrder","TestTrackOrder","","","test_check_input_2__233__True_","Checking Input in Track Order"
"passed","Fri Aug 18 10:41:52 IST 2023","Fri Aug 18 10:41:58 IST 2023","6448","","Test_01_Login","TestLogin","","","test_LoginUnsuccessful_2___frugal_latido_com_np____Test_1823__","Login Unsuccessfully"
"passed","Fri Aug 18 13:29:43 IST 2023","Fri Aug 18 13:29:55 IST 2023","12508","","Test_12_ProductCategory","TestProductCategory","","","test_02_add_new_product_category_1___E___POM_for_Bottle__WebApp__TestData__ProductCategory__SampleImage__sampel_leather_1_jpg____Category_13__","To verify Add new Product Category. "
"passed","Fri Aug 18 11:58:04 IST 2023","Fri Aug 18 11:58:29 IST 2023","24504","","Test_06_Inventory","TestInventory","","","test_04_search_item_3___frugal_latido_com_np____Test_123_____Automation__Item_13__","Searching the Items from the search and adding a new Item to it"
"passed","Fri Aug 18 14:32:28 IST 2023","Fri Aug 18 14:33:34 IST 2023","65841","","Test_11_LeatherManagement","TestLeatherManagement","","","test_02_add_new_Leather_5___E___POM_for_Bottle__WebApp__TestData__InventoryData__Image__Fraper_leather_Jacket_jpg____Leather00_31____LT_031____This_is_from_an_automated_Script___for_Leather___31___1__None___T0_LT_00_31____AT_LT_00_31____Auto_Testing__031____Black____Performing_this_using_automation_scripts____1__1__1___E___POM_for_Bottle__WebApp__TestData__InventoryData__Image__David_Leather_Jacket_jpg____E___POM_for_Bottle__WebApp__TestData__InventoryData__Image__David_Leather_Jacket_jpg____Frugal_Automation____50___Best____clean____Liquid____New_Type_Hide____cold_Touch__","Adding a new Leather into the List. "
"passed","Fri Aug 18 13:30:46 IST 2023","Fri Aug 18 13:30:55 IST 2023","9294","","Test_12_ProductCategory","TestProductCategory","","","test_02_add_new_product_category_6___E___POM_for_Bottle__WebApp__TestData__ProductCategory__SampleImage__sampel_leather_3_jpg____Category_18__","To verify Add new Product Category. "
"passed","Fri Aug 18 15:21:41 IST 2023","Fri Aug 18 15:22:12 IST 2023","30825","","Test_13_Blog","TestBlog","","","test_02_create_new_blog_1___frugal_latido_com_np____Test_123____This_is_short_Description____1___test_auto_dateSheet____Automation_Test_Blog__1____1_2_3____This_is_Header_1_through_Automations_This_is_Header_2_through_Automations_This_is_Header_3_through_Automations____This_is_example_of_Order_list___1_This_is_example_of_Order_list___2____E___POM_for_Bottle__WebApp__TestData__BlogTestData__SampleImage__sampel_leather_1_jpg___1___E___POM_for_Bottle__WebApp__TestData__BlogTestData__SampleImage__sampel_leather_1_jpg__E___POM_for_Bottle__WebApp__TestData__BlogTestData__SampleImage__sampel_leather_2_jpg__E___POM_for_Bottle__WebApp__TestData__BlogTestData__SampleImage__sampel_leather_3_jpg__E___POM_for_Bottle__WebApp__TestData__BlogTestData__SampleImage__sampel_leather_4_jpg__E___POM_for_Bottle__WebApp__TestData__BlogTestData__SampleImage__sampel_leather_5_jpg____E___POM_for_Bottle__WebApp__TestData__BlogTestData__SampleAudio__TestAudio_1_mp3____This_is_a_test_1__","Create a new Blog"
"passed","Fri Aug 18 11:48:30 IST 2023","Fri Aug 18 11:48:50 IST 2023","19644","","Test_06_Inventory","TestInventory","","","Create a new Category","Create a new Category from Add button "
"passed","Fri Aug 18 12:29:18 IST 2023","Fri Aug 18 12:30:15 IST 2023","57013","","Test_08_Reporting","TestReporting","","","test_01_new_entry_list_4____Automation__Item_112____AT_IT_112____Tamang_Suppliers___2000___2023_08_18___10___Excellent____By_Truck____By_Cash____Rohit____E___POM_for_Bottle__WebApp__TestData__InventoryData__Image__Receipt_png__","Check for new Entry"
"passed","Fri Aug 18 10:48:15 IST 2023","Fri Aug 18 10:48:41 IST 2023","25527","","Test_02_Dashboard","TestDashboard","","","test_dashboard_07_sumoftotal_user","Checking Total user Active User Tiles"
"passed","Fri Aug 18 12:51:48 IST 2023","Fri Aug 18 12:52:19 IST 2023","31033","","Test_09_MemberManagement","TestMemberManagement","","","test_04_reset_password_3___TestUser_67____Factory_Manager____userPass_auto67___9800000022___Siliguri____Test_123____Changed_123__","Reset Password a user password after creation."
