"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 18 18:37:28 IST 2023","Thu May 18 18:37:38 IST 2023","9652","","TestDashboard","TestDashboard","","","test_dashboard_inactive_user",""
"passed","Thu May 18 18:48:17 IST 2023","Thu May 18 18:49:23 IST 2023","66023","","TestOrder","TestOrder","","","Create a New Order for store",""
"passed","Thu May 18 18:37:17 IST 2023","Thu May 18 18:37:28 IST 2023","11311","","TestDashboard","TestDashboard","","","test_dashboard_active_user",""
"passed","Thu May 18 19:13:38 IST 2023","Thu May 18 19:13:51 IST 2023","13663","","TestTrackOrder","TestTrackOrder","","","Checking Input in Track Order",""
"passed","Thu May 18 18:34:44 IST 2023","Thu May 18 18:34:50 IST 2023","5495","","TestLogin","TestLogin","","","Login With Incorrect Username",""
"passed","Thu May 18 18:56:59 IST 2023","Thu May 18 18:58:00 IST 2023","61177","","TestOrder","TestOrder","","","Create a new Order for new Customer",""
"passed","Thu May 18 18:44:53 IST 2023","Thu May 18 18:46:00 IST 2023","67016","","TestOrder","TestOrder","","","Checking Order synchronization after creating a new customer order ",""
"passed","Thu May 18 18:37:40 IST 2023","Thu May 18 18:38:06 IST 2023","25816","","TestDashboard","TestDashboard","","","test_dashboard_sumoftotal_user",""
"passed","Thu May 18 18:41:01 IST 2023","Thu May 18 18:41:32 IST 2023","31537","","TestOrder","TestOrder","","","Search Functionality",""
"passed","Thu May 18 18:32:45 IST 2023","Thu May 18 18:32:55 IST 2023","10073","","TestLogin","TestLogin","","","Login Successfully",""
"passed","Thu May 18 18:59:30 IST 2023","Thu May 18 19:00:16 IST 2023","46011","","TestOrder","TestOrder","","","Create a new Order for existing Customer",""
"passed","Thu May 18 19:12:47 IST 2023","Thu May 18 19:13:05 IST 2023","18577","","TestTrackOrder","TestTrackOrder","","","Checking Input in Track Order",""
"passed","Thu May 18 18:34:52 IST 2023","Thu May 18 18:34:57 IST 2023","5142","","TestLogin","TestLogin","","","Login With Incorrect Username",""
