"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Inventory","","0","0","23","0","0"
"","Order List","","0","0","49","0","0"
"","Product Category","","0","3","22","0","0"
"","Login Page","","0","0","12","0","0"
"","Inventory Dashboard","","1","0","23","0","0"
"","Member Management","","0","0","23","0","0"
"","Leather Management","","0","0","11","0","0"
"","Reporting Module Test Cases","","0","0","13","0","0"
"","Blog","","4","1","1","0","0"
"","Login Page","Login Successfully","0","0","4","0","0"
"","Login Page","Login Unsuccessfully","0","0","4","0","0"
"","Track Order","","0","0","5","0","0"
"","DashboardExecutions","","0","0","7","0","0"
