"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 28 10:17:48 IST 2023","Fri Apr 28 10:17:59 IST 2023","10409","","TestDashboard","TestDashboard","","","test_dashboard_totalPending",""
"passed","Fri Apr 28 10:26:57 IST 2023","Fri Apr 28 10:27:40 IST 2023","43132","","TestOrder","TestOrder","","","test_create_order_store_4___frugal_latido_com_np____Test_123____Luigi__male_____Pink_Foil____41____Golden_Antique____Black____Yes____40____Comfort___8__7___33___11__5__9__12__46___6___5_6___Test_002___20000__1000___101011__",""
"passed","Fri Apr 28 10:26:12 IST 2023","Fri Apr 28 10:26:55 IST 2023","42887","","TestOrder","TestOrder","","","test_create_order_store_3___frugal_latido_com_np____Test_123____Lucha__male_____Mahogany_Antique____40____Silver____Black____No____40____General_Fit___8__7___35___11__5__9__12__46___8___5_6___Test_004___20000__1000___101013__",""
"passed","Fri Apr 28 10:25:26 IST 2023","Fri Apr 28 10:26:10 IST 2023","43974","","TestOrder","TestOrder","","","test_create_order_store_2___frugal_latido_com_np____Test_123____Exemplar__male_____Bronze_Mist_Antique____42____Golden_Antique____Black____Yes____40____Skin_Tight___8__7___34___11__5__9__12__46___7___5_6___Test_003___20000__1000___101012__",""
"passed","Fri Apr 28 10:14:36 IST 2023","Fri Apr 28 10:14:45 IST 2023","8215","","TestLogin","TestLogin","","","test_LoginSuccessful_2___frugal_latido_com_np____Test_123____OVERVIEW__",""
"passed","Fri Apr 28 10:15:13 IST 2023","Fri Apr 28 10:15:19 IST 2023","6052","","TestLogin","TestLogin","","","test_login_Unsuccessful_with_invalid_username_2___f_rugal_latido_com_np____Test_1823____2_validation_errors_detected__Value_at__userAlias__failed_to_satisfy_constraint__Member_must_satisfy_regular_expression_pattern_____p_L___p_M___p_S___p_N___p_P_____Value_at__userName__failed_to_satisfy_constraint__Member_must_satisfy_regular_expression_pattern_____p_L___p_M___p_S___p_N___p_P_____",""
"passed","Fri Apr 28 10:24:40 IST 2023","Fri Apr 28 10:25:24 IST 2023","43963","","TestOrder","TestOrder","","","test_create_order_store_1___frugal_latido_com_np____Test_123____Ek__male_____Black_Sheep____38____Silver____Black____No____40____Fit___8__7___33___11__5__9__12__46___6___5_6___Test_002___20000__1000___101011__",""
"broken","Fri Apr 28 10:16:46 IST 2023","Fri Apr 28 10:16:56 IST 2023","10172","","TestDashboard","TestDashboard","","","test_dashboard_active_user",""
"passed","Fri Apr 28 10:17:08 IST 2023","Fri Apr 28 10:17:33 IST 2023","24709","","TestDashboard","TestDashboard","","","test_dashboard_sumoftotal_user",""
"passed","Fri Apr 28 10:15:04 IST 2023","Fri Apr 28 10:15:11 IST 2023","6281","","TestLogin","TestLogin","","","test_login_Unsuccessful_with_invalid_username_1___frugal__latido_com_np____Test_103____2_validation_errors_detected__Value_at__userAlias__failed_to_satisfy_constraint__Member_must_satisfy_regular_expression_pattern_____p_L___p_M___p_S___p_N___p_P_____Value_at__userName__failed_to_satisfy_constraint__Member_must_satisfy_regular_expression_pattern_____p_L___p_M___p_S___p_N___p_P_____",""
"passed","Fri Apr 28 10:15:28 IST 2023","Fri Apr 28 10:15:34 IST 2023","5361","","TestLogin","TestLogin","","","test_login_with_empty_password_fields_2___frugal_latido_com_np_________Please_input_your_password___",""
"passed","Fri Apr 28 10:15:21 IST 2023","Fri Apr 28 10:15:26 IST 2023","5519","","TestLogin","TestLogin","","","test_login_with_empty_password_fields_1___frugal_latido_com_np_________Please_input_your_password___",""
"passed","Fri Apr 28 10:16:56 IST 2023","Fri Apr 28 10:17:06 IST 2023","9939","","TestDashboard","TestDashboard","","","test_dashboard_inactive_user",""
"broken","Fri Apr 28 10:28:27 IST 2023","Fri Apr 28 10:28:42 IST 2023","14957","","TestOrder","TestOrder","","","test_create_order_store_6__None__None__None__None__None__None__None__None__None__None__None__None__None__None__None__None__None__None__None__None__None__None__None__None_",""
"passed","Fri Apr 28 10:14:55 IST 2023","Fri Apr 28 10:15:02 IST 2023","6960","","TestLogin","TestLogin","","","test_LoginUnsuccessful_2___frugal_latido_com_np____Test_1823____Incorrect_username_or_password___",""
"passed","Fri Apr 28 10:15:43 IST 2023","Fri Apr 28 10:15:49 IST 2023","5283","","TestLogin","TestLogin","","","test_login_with_empty_userid_fields_2__None___Test_1823____Please_input_your_Email___",""
"passed","Fri Apr 28 10:22:30 IST 2023","Fri Apr 28 10:23:31 IST 2023","61491","","TestOrder","TestOrder","","","test_create_order_customer_4___frugal_latido_com_np____Test_123____9813000000____male____Luigi__male_____Pink_Foil____41____Golden_Antique____Black____Yes____40___5_6__4_4__5__46__8__12__11__7__1__9___Comfort____Test_004____2023_04_29___100900_",""
"passed","Fri Apr 28 10:19:15 IST 2023","Fri Apr 28 10:20:20 IST 2023","65920","","TestOrder","TestOrder","","","test_create_order_customer_1___frugal_latido_com_np____Test_123___9860838858___female____Ek__male_____Black_Sheep____38____Silver____Black____No____40___5_6__4_4__5__46__8__12__11__7__1__9___Fit____Test_001____2023_04_29___100900_",""
"passed","Fri Apr 28 10:21:25 IST 2023","Fri Apr 28 10:22:28 IST 2023","62041","","TestOrder","TestOrder","","","test_create_order_customer_3___frugal_latido_com_np____Test_123____9860838856____female____Lucha__male_____Mahogany_Antique____40____Silver____Black____No____40___5_6__4_4__5__46__8__12__11__7__1__9___General_Fit____Test_003____2023_04_29___100900_",""
"passed","Fri Apr 28 10:23:33 IST 2023","Fri Apr 28 10:24:38 IST 2023","64392","","TestOrder","TestOrder","","","test_create_order_customer_5___frugal_latido_com_np____Test_123____9813000000____female____Luigi__male_____Mahogany_Antique____41____Golden_Antique____Black____Yes____40___5_6__4_4__5__46__8__12__11__7__1__9___Comfort____Test_004____2023_04_29___100900_",""
"passed","Fri Apr 28 10:20:20 IST 2023","Fri Apr 28 10:21:23 IST 2023","62924","","TestOrder","TestOrder","","","test_create_order_customer_2___frugal_latido_com_np____Test_123____9813670780____male____Exemplar__male_____Bronze_Mist_Antique____42____Golden_Antique____Black____Yes____40___5_6__4_4__5__46__8__12__11__7__1__9___Skin_Tight____Test_002____2023_04_29___100900_",""
"passed","Fri Apr 28 10:27:43 IST 2023","Fri Apr 28 10:28:25 IST 2023","42394","","TestOrder","TestOrder","","","test_create_order_store_5___frugal_latido_com_np____Test_123____Luigi__male_____Mahogany_Antique____41____Golden_Antique____Black____Yes____40____Comfort___8__7___34___11__5__9__12__46___7___5_6___Test_003___20000__1000___101012__",""
"passed","Fri Apr 28 10:15:36 IST 2023","Fri Apr 28 10:15:41 IST 2023","5353","","TestLogin","TestLogin","","","test_login_with_empty_userid_fields_1__None___Test_103____Please_input_your_Email___",""
"passed","Fri Apr 28 10:14:24 IST 2023","Fri Apr 28 10:14:36 IST 2023","12145","","TestLogin","TestLogin","","","test_LoginSuccessful_1___frugal_latido_com_np____Test_123____OVERVIEW__",""
"passed","Fri Apr 28 10:17:35 IST 2023","Fri Apr 28 10:17:46 IST 2023","11328","","TestDashboard","TestDashboard","","","test_dashboard_totalOrder",""
"passed","Fri Apr 28 10:18:13 IST 2023","Fri Apr 28 10:18:23 IST 2023","10149","","TestDashboard","TestDashboard","","","test_dashboard_totalUser",""
"passed","Fri Apr 28 10:14:47 IST 2023","Fri Apr 28 10:14:53 IST 2023","6282","","TestLogin","TestLogin","","","test_LoginUnsuccessful_1___frugal_latido_com_np____Test_103____Incorrect_username_or_password___",""
"passed","Fri Apr 28 10:18:01 IST 2023","Fri Apr 28 10:18:11 IST 2023","9990","","TestDashboard","TestDashboard","","","test_dashboard_totalSales",""
