"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 30 16:10:31 IST 2023","Fri Jun 30 16:10:58 IST 2023","27555","","TestInventory","TestInventory","","","Selecting  a new Category","Selecting a new Category from Category Carousel "
"failed","Fri Jun 30 17:19:57 IST 2023","Fri Jun 30 17:20:41 IST 2023","43842","","TestReporting","TestReporting","","","test_02_new_entry_3____Automation__Item_66____AT_IT_66____Mulchand___Sons___2000___2023_06_30___10___Bad____By_Truck____By_Cheque____Rohit____E___POM_for_Bottle__WebApp__TestData__InventoryData__Image__Receipt_png__","Check for View more Details"
"passed","Fri Jun 30 17:51:21 IST 2023","Fri Jun 30 17:51:43 IST 2023","21391","","TestProductManagement","TestProductManagement","","","Add a new Product","Adding a new product into the List. "
"passed","Fri Jun 30 15:18:48 IST 2023","Fri Jun 30 15:19:10 IST 2023","22163","","TestDashboard","TestDashboard","","","test_dashboard_02_totalOrder","Checking Total Order Tiles"
"passed","Fri Jun 30 15:42:34 IST 2023","Fri Jun 30 15:43:30 IST 2023","55948","","TestOrder","TestOrder","","","Create a new Order for existing Customer","Create an Order for existing Customer "
"passed","Fri Jun 30 16:08:55 IST 2023","Fri Jun 30 16:09:13 IST 2023","17858","","TestInventory","TestInventory","","","Create a new Category","Create a new Category from Add button "
"passed","Fri Jun 30 13:11:51 IST 2023","Fri Jun 30 13:11:56 IST 2023","5392","","TestLogin","TestLogin","","","Login With Invalid Username","Login With Invalid Username"
"passed","Fri Jun 30 13:11:34 IST 2023","Fri Jun 30 13:11:40 IST 2023","6277","","TestLogin","TestLogin","","","test_LoginUnsuccessful_4___rohit13_latido_com_np____Test_124__","Login Unsuccessfully"
"passed","Fri Jun 30 15:36:56 IST 2023","Fri Jun 30 15:38:01 IST 2023","64775","","TestOrder","TestOrder","","","Create a new Order for new Customer","Create an Order for new Customer "
"passed","Fri Jun 30 13:12:53 IST 2023","Fri Jun 30 13:12:57 IST 2023","4211","","TestLogin","TestLogin","","","Login With Incorrect Username","Login With Incorrect Username"
"passed","Fri Jun 30 15:34:09 IST 2023","Fri Jun 30 15:35:03 IST 2023","53975","","TestOrder","TestOrder","","","Checking Order synchronization  ","Checking Order synchronization after creating a New Order for store"
"passed","Fri Jun 30 16:49:44 IST 2023","Fri Jun 30 16:50:30 IST 2023","46601","","TestVendor","TestVendors","","","Synchronization a Vendor ","Checking Synchronization of a Vendor after creating a new one "
"passed","Fri Jun 30 15:28:44 IST 2023","Fri Jun 30 15:29:53 IST 2023","68583","","TestOrder","TestOrder","","","Checking Order synchronization  ","Checking Order synchronization after creating a new customer order "
"passed","Fri Jun 30 17:50:14 IST 2023","Fri Jun 30 17:50:34 IST 2023","19448","","TestProductManagement","TestProductManagement","","","Add a new Product","Adding a new product into the List. "
"passed","Fri Jun 30 16:42:22 IST 2023","Fri Jun 30 16:42:44 IST 2023","21872","","TestVendor","TestVendors","","","Deleting a Vendor ","Deleting a Vendor"
"passed","Fri Jun 30 16:19:18 IST 2023","Fri Jun 30 16:19:42 IST 2023","24302","","TestInventory","TestInventory","","","Searching the Items ","Searching the Items from the search and adding a new Item to it"
"passed","Fri Jun 30 17:29:39 IST 2023","Fri Jun 30 17:29:55 IST 2023","15246","","TestMemberManagement","TestMemberManagement","","","test_create_new_member_1___UserTest_37____Store_Manager____user_testAuto037___9800000015___Siliguri____Test_123__","Verify Create New User."
"passed","Fri Jun 30 17:22:53 IST 2023","Fri Jun 30 17:23:05 IST 2023","12078","","TestReporting","TestReporting","","","test_landing","Verify Landing on Reporting Page."
"passed","Fri Jun 30 15:25:09 IST 2023","Fri Jun 30 15:25:31 IST 2023","21826","","TestOrder","TestOrder","","","Search Functionality","Search and verify item"
"passed","Fri Jun 30 17:34:55 IST 2023","Fri Jun 30 17:35:26 IST 2023","31828","","TestMemberManagement","TestMemberManagement","","","test_login_newMember_4___UserTest_28____Inventory_Manager____user_logintest_auto28___9800000018___Siliguri____Test_123__","Check Loging after creating an user."
"passed","Fri Jun 30 17:51:45 IST 2023","Fri Jun 30 17:52:05 IST 2023","20179","","TestProductManagement","TestProductManagement","","","Add a new Product","Adding a new product into the List. "
"passed","Fri Jun 30 16:50:59 IST 2023","Fri Jun 30 16:51:22 IST 2023","23699","","TestVendor","TestVendors","","","Adding a new Vendor","Adding a new Vendor"
"passed","Fri Jun 30 16:18:52 IST 2023","Fri Jun 30 16:19:16 IST 2023","23227","","TestInventory","TestInventory","","","Searching the Items ","Searching the Items from the search and adding a new Item to it"
"passed","Fri Jun 30 15:32:17 IST 2023","Fri Jun 30 15:33:11 IST 2023","54163","","TestOrder","TestOrder","","","Checking Order synchronization  ","Checking Order synchronization after creating a New Order for store"
"passed","Fri Jun 30 17:30:47 IST 2023","Fri Jun 30 17:31:01 IST 2023","13996","","TestMemberManagement","TestMemberManagement","","","test_create_new_member_5___UserTest_41____Order_Manager____user_testAuto041___9800000019___Siliguri____Test_123__","Verify Create New User."
"passed","Fri Jun 30 15:33:13 IST 2023","Fri Jun 30 15:34:06 IST 2023","53263","","TestOrder","TestOrder","","","Checking Order synchronization  ","Checking Order synchronization after creating a New Order for store"
"passed","Fri Jun 30 16:13:00 IST 2023","Fri Jun 30 16:13:27 IST 2023","27278","","TestInventory","TestInventory","","","Selecting  a new Category","Selecting a new Category from Category Carousel "
"passed","Fri Jun 30 17:49:55 IST 2023","Fri Jun 30 17:50:14 IST 2023","19353","","TestProductManagement","TestProductManagement","","","Add a new Product","Adding a new product into the List. "
"passed","Fri Jun 30 16:16:11 IST 2023","Fri Jun 30 16:16:50 IST 2023","39118","","TestInventory","TestInventory","","","Restocking the Items ","Selecting a new Category and restocking the Items "
"passed","Fri Jun 30 17:34:22 IST 2023","Fri Jun 30 17:34:52 IST 2023","30212","","TestMemberManagement","TestMemberManagement","","","test_login_newMember_3___UserTest_27____Factory_Manager____user_logintest_auto27___9800000017___Siliguri____Test_123__","Check Loging after creating an user."
"failed","Fri Jun 30 17:21:26 IST 2023","Fri Jun 30 17:22:09 IST 2023","43768","","TestReporting","TestReporting","","","test_02_new_entry_5____Automation__Item_68____AT_IT_68____Silver_Zipper_Supplier___2000___2023_06_30___10___Good____By_Truck____By_Cheque____Rohit____E___POM_for_Bottle__WebApp__TestData__InventoryData__Image__Receipt_png__","Check for View more Details"
"passed","Fri Jun 30 15:24:21 IST 2023","Fri Jun 30 15:24:43 IST 2023","21392","","TestOrder","TestOrder","","","Search Functionality","Search and verify item"
"passed","Fri Jun 30 15:53:47 IST 2023","Fri Jun 30 15:54:01 IST 2023","13944","","TestTrackOrder","TestTrackOrder","","","Checking Input in Track Order","Checking Input in Track Order"
"failed","Fri Jun 30 17:17:26 IST 2023","Fri Jun 30 17:18:11 IST 2023","45231","","TestReporting","TestReporting","","","test_01_new_entry_list_5____Automation__Item_63____AT_IT_63____Silver_Zipper_Supplier___2000___2023_06_30___10___Good____By_Truck____By_Cheque____Rohit____E___POM_for_Bottle__WebApp__TestData__InventoryData__Image__Receipt_png__","Check for new Entry"
"passed","Fri Jun 30 16:43:45 IST 2023","Fri Jun 30 16:44:19 IST 2023","34202","","TestVendor","TestVendors","","","Editing a Vendor details","Editing a Vendor details"
"failed","Fri Jun 30 17:20:41 IST 2023","Fri Jun 30 17:21:26 IST 2023","44908","","TestReporting","TestReporting","","","test_02_new_entry_4____Automation__Item_67____AT_IT_67____Tamang_Suppliers___2000___2023_06_30___10___Excellent____By_Truck____By_Cash____Rohit____E___POM_for_Bottle__WebApp__TestData__InventoryData__Image__Receipt_png__","Check for View more Details"
"passed","Fri Jun 30 15:25:33 IST 2023","Fri Jun 30 15:25:55 IST 2023","21773","","TestOrder","TestOrder","","","Search Functionality","Search and verify item"
"passed","Fri Jun 30 15:47:27 IST 2023","Fri Jun 30 15:48:07 IST 2023","40793","","TestOrder","TestOrder","","","Create a New Order for store","Create a New Order for store"
"failed","Fri Jun 30 17:16:40 IST 2023","Fri Jun 30 17:17:26 IST 2023","45464","","TestReporting","TestReporting","","","test_01_new_entry_list_4____Automation__Item_62____AT_IT_62____Tamang_Suppliers___2000___2023_06_30___10___Excellent____By_Truck____By_Cash____Rohit____E___POM_for_Bottle__WebApp__TestData__InventoryData__Image__Receipt_png__","Check for new Entry"
"passed","Fri Jun 30 13:12:46 IST 2023","Fri Jun 30 13:12:51 IST 2023","4676","","TestLogin","TestLogin","","","Login With Incorrect Username","Login With Incorrect Username"
"passed","Fri Jun 30 17:31:03 IST 2023","Fri Jun 30 17:31:17 IST 2023","14589","","TestMemberManagement","TestMemberManagement","","","test_create_new_member_6___UserTest_42____Super_Admin____user_testAuto042___9800000020___Siliguri____Test_123__","Verify Create New User."
"passed","Fri Jun 30 15:29:55 IST 2023","Fri Jun 30 15:31:03 IST 2023","67970","","TestOrder","TestOrder","","","Checking Order synchronization  ","Checking Order synchronization after creating a new customer order "
"passed","Fri Jun 30 16:50:32 IST 2023","Fri Jun 30 16:50:56 IST 2023","24086","","TestVendor","TestVendors","","","Adding a new Vendor","Adding a new Vendor"
"passed","Fri Jun 30 17:36:02 IST 2023","Fri Jun 30 17:36:31 IST 2023","28978","","TestMemberManagement","TestMemberManagement","","","test_login_newMember_6___UserTest_30____Karigar____user_logintest_auto30___9800000020___Siliguri____Test_123__","Check Loging after creating an user."
"passed","Fri Jun 30 16:48:50 IST 2023","Fri Jun 30 16:49:41 IST 2023","51614","","TestVendor","TestVendors","","","Synchronization a Vendor ","Checking Synchronization of a Vendor after creating a new one "
"passed","Fri Jun 30 13:12:33 IST 2023","Fri Jun 30 13:12:38 IST 2023","4544","","TestLogin","TestLogin","","","Login With Incorrect Username","Login With Incorrect Username"
"passed","Fri Jun 30 16:13:29 IST 2023","Fri Jun 30 16:14:08 IST 2023","38460","","TestInventory","TestInventory","","","Restocking the Items ","Selecting a new Category and restocking the Items "
"failed","Fri Jun 30 17:22:09 IST 2023","Fri Jun 30 17:22:53 IST 2023","43700","","TestReporting","TestReporting","","","test_02_new_entry_6____Automation__Item_69____AT_IT_69____Tester___2000___2023_06_30___10___Bad____By_Truck____By_Cash____Rohit____E___POM_for_Bottle__WebApp__TestData__InventoryData__Image__Receipt_png__","Check for View more Details"
"passed","Fri Jun 30 16:17:33 IST 2023","Fri Jun 30 16:17:56 IST 2023","23319","","TestInventory","TestInventory","","","Searching the Items ","Searching the Items from the search and adding a new Item to it"
"passed","Fri Jun 30 17:37:32 IST 2023","Fri Jun 30 17:38:00 IST 2023","27460","","TestMemberManagement","TestMemberManagement","","","test_reset_password_3___TestUser_28____Factory_Manager____userPass_auto28___9800000012___Siliguri____Test_123____Changed_123__","Reset Password a user password after creation."
"passed","Fri Jun 30 13:11:18 IST 2023","Fri Jun 30 13:11:24 IST 2023","5463","","TestLogin","TestLogin","","","test_LoginUnsuccessful_2___frugal_latido_com_np____Test_1823__","Login Unsuccessfully"
"broken","Fri Jun 30 17:18:47 IST 2023","Fri Jun 30 17:19:13 IST 2023","26095","","TestReporting","TestReporting","","","test_02_new_entry_1____Automation__Item_64____AT_IT_64____Mulchand___Sons___2000___2023_06_30___10___Excellent____By_Truck____By_Cheque____Rohit____E___POM_for_Bottle__WebApp__TestData__InventoryData__Image__Receipt_png__","Check for View more Details"
"passed","Fri Jun 30 15:38:03 IST 2023","Fri Jun 30 15:39:09 IST 2023","66019","","TestOrder","TestOrder","","","Create a new Order for new Customer","Create an Order for new Customer "
"passed","Fri Jun 30 15:19:46 IST 2023","Fri Jun 30 15:19:56 IST 2023","9281","","TestDashboard","TestDashboard","","","test_dashboard_06_inactive_user","Checking Inactive User Tiles"
"passed","Fri Jun 30 16:51:51 IST 2023","Fri Jun 30 16:52:14 IST 2023","22800","","TestVendor","TestVendors","","","Adding a new Vendor","Adding a new Vendor"
"passed","Fri Jun 30 15:50:18 IST 2023","Fri Jun 30 15:50:59 IST 2023","40559","","TestOrder","TestOrder","","","Create a New Order for store","Create a New Order for store"
"passed","Fri Jun 30 16:46:11 IST 2023","Fri Jun 30 16:46:18 IST 2023","6631","","TestVendor","TestVendors","","","Verifying landing on Vendor Page",""
"passed","Fri Jun 30 16:51:24 IST 2023","Fri Jun 30 16:51:49 IST 2023","24820","","TestVendor","TestVendors","","","Adding a new Vendor","Adding a new Vendor"
"passed","Fri Jun 30 17:29:25 IST 2023","Fri Jun 30 17:29:39 IST 2023","14501","","TestMemberManagement","TestMemberManagement","","","testLanding_memberManagement","Verify Landing Page."
"passed","Fri Jun 30 17:38:31 IST 2023","Fri Jun 30 17:38:57 IST 2023","26602","","TestMemberManagement","TestMemberManagement","","","test_reset_password_5___TestUser_30____Order_Manager____userPass_auto30___9800000014___Siliguri____Test_123____Changed_123__","Reset Password a user password after creation."
"passed","Fri Jun 30 16:12:30 IST 2023","Fri Jun 30 16:12:58 IST 2023","27805","","TestInventory","TestInventory","","","Selecting  a new Category","Selecting a new Category from Category Carousel "
"passed","Fri Jun 30 16:44:57 IST 2023","Fri Jun 30 16:45:32 IST 2023","34703","","TestVendor","TestVendors","","","Editing a Vendor details","Editing a Vendor details"
"passed","Fri Jun 30 15:19:35 IST 2023","Fri Jun 30 15:19:44 IST 2023","9542","","TestDashboard","TestDashboard","","","test_dashboard_05_active_user","Checking Active User Tiles"
"passed","Fri Jun 30 16:14:10 IST 2023","Fri Jun 30 16:14:49 IST 2023","38825","","TestInventory","TestInventory","","","Restocking the Items ","Selecting a new Category and restocking the Items "
"passed","Fri Jun 30 15:44:31 IST 2023","Fri Jun 30 15:45:27 IST 2023","56009","","TestOrder","TestOrder","","","Create a new Order for existing Customer","Create an Order for existing Customer "
"passed","Fri Jun 30 13:11:11 IST 2023","Fri Jun 30 13:11:16 IST 2023","5696","","TestLogin","TestLogin","","","test_LoginUnsuccessful_1___frugal_latido_com_np____Test_103__","Login Unsuccessfully"
"passed","Fri Jun 30 17:33:52 IST 2023","Fri Jun 30 17:34:20 IST 2023","28397","","TestMemberManagement","TestMemberManagement","","","test_login_newMember_2___UserTest_26____Product_Manager____user_logintest_auto26___9800000016___Siliguri____Test_123__","Check Loging after creating an user."
"passed","Fri Jun 30 15:41:26 IST 2023","Fri Jun 30 15:42:32 IST 2023","65749","","TestOrder","TestOrder","","","Create a new Order for new Customer","Create an Order for new Customer "
"passed","Fri Jun 30 17:50:36 IST 2023","Fri Jun 30 17:50:58 IST 2023","22480","","TestProductManagement","TestProductManagement","","","Add a new Product","Adding a new product into the List. "
"passed","Fri Jun 30 17:30:12 IST 2023","Fri Jun 30 17:30:28 IST 2023","16200","","TestMemberManagement","TestMemberManagement","","","test_create_new_member_3___UserTest_39____Factory_Manager____user_testAuto039___9800000017___Siliguri____Test_123__","Verify Create New User."
"failed","Fri Jun 30 15:55:33 IST 2023","Fri Jun 30 15:55:48 IST 2023","14397","","TestInventDashboard","TestInventDashboard","","","Checking Dashboard data","Checking Dashboard data"
"passed","Fri Jun 30 15:19:58 IST 2023","Fri Jun 30 15:20:22 IST 2023","24311","","TestDashboard","TestDashboard","","","test_dashboard_07_sumoftotal_user","Checking Total user Active User Tiles"
"passed","Fri Jun 30 16:15:31 IST 2023","Fri Jun 30 16:16:09 IST 2023","38705","","TestInventory","TestInventory","","","Restocking the Items ","Selecting a new Category and restocking the Items "
"passed","Fri Jun 30 16:41:59 IST 2023","Fri Jun 30 16:42:20 IST 2023","20938","","TestVendor","TestVendors","","","Deleting a Vendor ","Deleting a Vendor"
"passed","Fri Jun 30 13:11:42 IST 2023","Fri Jun 30 13:11:49 IST 2023","6447","","TestLogin","TestLogin","","","Login With Invalid Username","Login With Invalid Username"
"passed","Fri Jun 30 16:41:08 IST 2023","Fri Jun 30 16:41:32 IST 2023","24341","","TestVendor","TestVendors","","","Deleting a Vendor ","Deleting a Vendor"
"passed","Fri Jun 30 16:11:31 IST 2023","Fri Jun 30 16:11:58 IST 2023","27548","","TestInventory","TestInventory","","","Selecting  a new Category","Selecting a new Category from Category Carousel "
"passed","Fri Jun 30 16:10:12 IST 2023","Fri Jun 30 16:10:29 IST 2023","16243","","TestInventory","TestInventory","","","Create a new Category","Create a new Category from Add button "
"passed","Fri Jun 30 16:09:54 IST 2023","Fri Jun 30 16:10:10 IST 2023","16845","","TestInventory","TestInventory","","","Create a new Category","Create a new Category from Add button "
"passed","Fri Jun 30 16:46:20 IST 2023","Fri Jun 30 16:47:08 IST 2023","47698","","TestVendor","TestVendors","","","Synchronization a Vendor ","Checking Synchronization of a Vendor after creating a new one "
"passed","Fri Jun 30 16:08:35 IST 2023","Fri Jun 30 16:08:55 IST 2023","20388","","TestInventory","TestInventory","","","Create a new Category","Create a new Category from Add button "
"passed","Fri Jun 30 16:18:25 IST 2023","Fri Jun 30 16:18:50 IST 2023","25300","","TestInventory","TestInventory","","","Searching the Items ","Searching the Items from the search and adding a new Item to it"
"passed","Fri Jun 30 15:45:29 IST 2023","Fri Jun 30 15:46:25 IST 2023","55942","","TestOrder","TestOrder","","","Create a new Order for existing Customer","Create an Order for existing Customer "
"passed","Fri Jun 30 15:49:36 IST 2023","Fri Jun 30 15:50:16 IST 2023","40529","","TestOrder","TestOrder","","","Create a New Order for store","Create a New Order for store"
"passed","Fri Jun 30 16:47:10 IST 2023","Fri Jun 30 16:47:58 IST 2023","47806","","TestVendor","TestVendors","","","Synchronization a Vendor ","Checking Synchronization of a Vendor after creating a new one "
"passed","Fri Jun 30 13:12:26 IST 2023","Fri Jun 30 13:12:31 IST 2023","5161","","TestLogin","TestLogin","","","Login With Incorrect Username","Login With Incorrect Username"
"passed","Fri Jun 30 16:12:01 IST 2023","Fri Jun 30 16:12:28 IST 2023","27380","","TestInventory","TestInventory","","","Selecting  a new Category","Selecting a new Category from Category Carousel "
"broken","Fri Jun 30 17:18:11 IST 2023","Fri Jun 30 17:18:38 IST 2023","27179","","TestReporting","TestReporting","","","test_01_new_entry_list_6____Automation__Item_64____AT_IT_64____Tester___2000___2023_06_30___10___Bad____By_Truck____By_Cash____Rohit____E___POM_for_Bottle__WebApp__TestData__InventoryData__Image__Receipt_png__","Check for new Entry"
"passed","Fri Jun 30 15:54:01 IST 2023","Fri Jun 30 15:54:15 IST 2023","14110","","TestTrackOrder","TestTrackOrder","","","Checking Input in Track Order","Checking Input in Track Order"
"passed","Fri Jun 30 15:18:25 IST 2023","Fri Jun 30 15:18:48 IST 2023","22334","","TestDashboard","TestDashboard","","","test_dashboard_01_totalUser","Checking Total User Tiles"
"passed","Fri Jun 30 17:37:03 IST 2023","Fri Jun 30 17:37:30 IST 2023","26887","","TestMemberManagement","TestMemberManagement","","","test_reset_password_2___TestUser_27____Product_Manager____userPass_auto27___9800000011___Siliguri____Test_123____Changed_123__","Reset Password a user password after creation."
"passed","Fri Jun 30 16:17:58 IST 2023","Fri Jun 30 16:18:23 IST 2023","24520","","TestInventory","TestInventory","","","Searching the Items ","Searching the Items from the search and adding a new Item to it"
"passed","Fri Jun 30 15:19:12 IST 2023","Fri Jun 30 15:19:21 IST 2023","9310","","TestDashboard","TestDashboard","","","test_dashboard_03_totalSales","Checking Total Sales Tiles"
"passed","Fri Jun 30 15:54:17 IST 2023","Fri Jun 30 15:54:28 IST 2023","11316","","TestTrackOrder","TestTrackOrder","","","Checking Input in Track Order","Checking Input in Track Order"
"passed","Fri Jun 30 15:19:23 IST 2023","Fri Jun 30 15:19:33 IST 2023","9348","","TestDashboard","TestDashboard","","","test_dashboard_04_totalPending","Checking Total Pending Tiles"
"passed","Fri Jun 30 15:35:05 IST 2023","Fri Jun 30 15:35:58 IST 2023","53189","","TestOrder","TestOrder","","","Checking Order synchronization  ","Checking Order synchronization after creating a New Order for store"
"passed","Fri Jun 30 15:25:57 IST 2023","Fri Jun 30 15:27:30 IST 2023","92652","","TestOrder","TestOrder","","","Checking Order synchronization  ","Checking Order synchronization after creating a new customer order "
"passed","Fri Jun 30 16:52:16 IST 2023","Fri Jun 30 16:52:42 IST 2023","25697","","TestVendor","TestVendors","","","Adding a new Vendor","Adding a new Vendor"
"passed","Fri Jun 30 15:54:30 IST 2023","Fri Jun 30 15:54:43 IST 2023","12272","","TestTrackOrder","TestTrackOrder","","","Checking Input in Track Order","Checking Input in Track Order"
"passed","Fri Jun 30 17:52:07 IST 2023","Fri Jun 30 17:52:14 IST 2023","7221","","TestProductManagement","TestProductManagement","","","Verify Product Management Page","To verify Product management page. "
"passed","Fri Jun 30 15:36:00 IST 2023","Fri Jun 30 15:36:54 IST 2023","53758","","TestOrder","TestOrder","","","Checking Order synchronization  ","Checking Order synchronization after creating a New Order for store"
"passed","Fri Jun 30 13:10:26 IST 2023","Fri Jun 30 13:10:38 IST 2023","11399","","TestLogin","TestLogin","","","test_LoginSuccessful_1___frugal_latido_com_np____Test_123__","Login Successfully"
"passed","Fri Jun 30 16:43:08 IST 2023","Fri Jun 30 16:43:42 IST 2023","34382","","TestVendor","TestVendors","","","Editing a Vendor details","Editing a Vendor details"
"passed","Fri Jun 30 13:11:26 IST 2023","Fri Jun 30 13:11:32 IST 2023","5917","","TestLogin","TestLogin","","","test_LoginUnsuccessful_3___rohit13_latido_com_np____Test_1824__","Login Unsuccessfully"
"failed","Fri Jun 30 17:15:10 IST 2023","Fri Jun 30 17:16:40 IST 2023","90449","","TestReporting","TestReporting","","","test_01_new_entry_list_3____Automation__Item_61____AT_IT_61____Mulchand___Sons___2000___2023_06_30___10___Bad____By_Truck____By_Cheque____Rohit____E___POM_for_Bottle__WebApp__TestData__InventoryData__Image__Receipt_png__","Check for new Entry"
"passed","Fri Jun 30 15:24:45 IST 2023","Fri Jun 30 15:25:07 IST 2023","22378","","TestOrder","TestOrder","","","Search Functionality","Search and verify item"
"passed","Fri Jun 30 13:13:06 IST 2023","Fri Jun 30 13:13:11 IST 2023","4691","","TestLogin","TestLogin","","","Login With Incorrect Username","Login With Incorrect Username"
"passed","Fri Jun 30 17:30:30 IST 2023","Fri Jun 30 17:30:45 IST 2023","14639","","TestMemberManagement","TestMemberManagement","","","test_create_new_member_4___UserTest_40____Inventory_Manager____user_testAuto040___9800000018___Siliguri____Test_123__","Verify Create New User."
"passed","Fri Jun 30 17:32:54 IST 2023","Fri Jun 30 17:33:17 IST 2023","23192","","TestMemberManagement","TestMemberManagement","","","test_edit_member_5___TestUser_35____Order_Manager____userEdit_auto35___9800000014___Siliguri____Test_123____TestUser_Edited__05____SUPERADMIN___9800000105_","Verify the edits are reflecting correctly after editing."
"passed","Fri Jun 30 15:40:18 IST 2023","Fri Jun 30 15:41:24 IST 2023","66668","","TestOrder","TestOrder","","","Create a new Order for new Customer","Create an Order for new Customer "
"passed","Fri Jun 30 17:51:00 IST 2023","Fri Jun 30 17:51:19 IST 2023","18539","","TestProductManagement","TestProductManagement","","","Add a new Product","Adding a new product into the List. "
"passed","Fri Jun 30 17:32:31 IST 2023","Fri Jun 30 17:32:52 IST 2023","20891","","TestMemberManagement","TestMemberManagement","","","test_edit_member_4___TestUser_34____Inventory_Manager____userEdit_auto34___9800000013___Siliguri____Test_123____TestUser_Edited__04____STOREMANAGER___9800000104_","Verify the edits are reflecting correctly after editing."
"passed","Fri Jun 30 13:10:38 IST 2023","Fri Jun 30 13:10:46 IST 2023","7901","","TestLogin","TestLogin","","","test_LoginSuccessful_2___frugal_latido_com_np____Test_123__","Login Successfully"
"passed","Fri Jun 30 15:31:05 IST 2023","Fri Jun 30 15:32:14 IST 2023","68888","","TestOrder","TestOrder","","","Checking Order synchronization  ","Checking Order synchronization after creating a new customer order "
"passed","Fri Jun 30 16:45:34 IST 2023","Fri Jun 30 16:46:09 IST 2023","35118","","TestVendor","TestVendors","","","Editing a Vendor details","Editing a Vendor details"
"passed","Fri Jun 30 16:41:32 IST 2023","Fri Jun 30 16:41:57 IST 2023","24580","","TestVendor","TestVendors","","","Deleting a Vendor ","Deleting a Vendor"
"passed","Fri Jun 30 15:23:58 IST 2023","Fri Jun 30 15:24:21 IST 2023","23667","","TestOrder","TestOrder","","","Search Functionality","Search and verify item"
"passed","Fri Jun 30 13:10:59 IST 2023","Fri Jun 30 13:11:09 IST 2023","9078","","TestLogin","TestLogin","","","test_LoginSuccessful_4___rohit13_latido_com_np____Test_123__","Login Successfully"
"passed","Fri Jun 30 16:44:21 IST 2023","Fri Jun 30 16:44:55 IST 2023","34302","","TestVendor","TestVendors","","","Editing a Vendor details","Editing a Vendor details"
"failed","Fri Jun 30 17:13:37 IST 2023","Fri Jun 30 17:14:23 IST 2023","45538","","TestReporting","TestReporting","","","test_01_new_entry_list_1____Automation__Item_59____AT_IT_59____Mulchand___Sons___2000___2023_06_30___10___Excellent____By_Truck____By_Cheque____Rohit____E___POM_for_Bottle__WebApp__TestData__InventoryData__Image__Receipt_png__","Check for new Entry"
"passed","Fri Jun 30 15:39:11 IST 2023","Fri Jun 30 15:40:15 IST 2023","64298","","TestOrder","TestOrder","","","Create a new Order for new Customer","Create an Order for new Customer "
"passed","Fri Jun 30 13:12:06 IST 2023","Fri Jun 30 13:12:18 IST 2023","11648","","TestLogin","TestLogin","","","Login With Invalid Username","Login With Invalid Username"
"passed","Fri Jun 30 15:48:10 IST 2023","Fri Jun 30 15:48:50 IST 2023","40695","","TestOrder","TestOrder","","","Create a New Order for store","Create a New Order for store"
"failed","Fri Jun 30 17:19:13 IST 2023","Fri Jun 30 17:19:57 IST 2023","43939","","TestReporting","TestReporting","","","test_02_new_entry_2____Automation__Item_65____AT_IT_65____AKM_Leather___2000___2023_06_30___10___Good____By_Truck____By_Cash____Rohit____E___POM_for_Bottle__WebApp__TestData__InventoryData__Image__Receipt_png__","Check for View more Details"
"passed","Fri Jun 30 15:43:32 IST 2023","Fri Jun 30 15:44:29 IST 2023","56540","","TestOrder","TestOrder","","","Create a new Order for existing Customer","Create an Order for existing Customer "
"passed","Fri Jun 30 16:14:51 IST 2023","Fri Jun 30 16:15:28 IST 2023","37412","","TestInventory","TestInventory","","","Restocking the Items ","Selecting a new Category and restocking the Items "
"passed","Fri Jun 30 16:48:00 IST 2023","Fri Jun 30 16:48:48 IST 2023","47742","","TestVendor","TestVendors","","","Synchronization a Vendor ","Checking Synchronization of a Vendor after creating a new one "
"passed","Fri Jun 30 13:10:48 IST 2023","Fri Jun 30 13:10:57 IST 2023","9529","","TestLogin","TestLogin","","","test_LoginSuccessful_3___rohit13_latido_com_np____Test_123__","Login Successfully"
"passed","Fri Jun 30 16:11:01 IST 2023","Fri Jun 30 16:11:29 IST 2023","28263","","TestInventory","TestInventory","","","Selecting  a new Category","Selecting a new Category from Category Carousel "
"passed","Fri Jun 30 13:12:40 IST 2023","Fri Jun 30 13:12:44 IST 2023","4708","","TestLogin","TestLogin","","","Login With Incorrect Username","Login With Incorrect Username"
"passed","Fri Jun 30 17:32:07 IST 2023","Fri Jun 30 17:32:29 IST 2023","21143","","TestMemberManagement","TestMemberManagement","","","test_edit_member_3___TestUser_33____Factory_Manager____userEdit_auto33___9800000012___Siliguri____Test_123____TestUser_Edited__03____PRODUCTMANAGER___9800000103_","Verify the edits are reflecting correctly after editing."
"passed","Fri Jun 30 16:09:34 IST 2023","Fri Jun 30 16:09:51 IST 2023","16952","","TestInventory","TestInventory","","","Create a new Category","Create a new Category from Add button "
